stt,en,vi,ipa
126,I wonder if I can cook it well.,Tớ đang tự hỏi liệu mình có thể nấu ăn ngon không.,i /ˈwʌndə/ /ɪf/ i /ˈkæn/ /kuːk/ /ɪt/ /wɛl/
127,I make a house with blocks.,Tớ xếp một ngôi nhà với các khối hình.,i /meɪk/ /æɪ/ /hʌʊs/ with /blɒks/
128,Those blocks are colorful.,Những khối hình này rất nhiều màu sắc.,/ðəʊz/ blocks are colorful
129,It’s easy to pile them up.,Rất dễ để xếp chúng thành chồng.,it s easy to pile them up
130,I play in the kitchen.,Tớ chơi trong nhà bếp.,i play in the kitchen
131,I put my doll on the chair.,Tớ để búp bê lên ghế.,i put my doll on the chair
132,The dinning table is covered with my favorite table cloth.,Bàn ăn được phủ bằng một tấm vải bàn mà tớ rất thích.,the dinning table is covered with my favorite table cloth
133,I put the peas into a jar.,Tớ cho hạt đậu vào trong lọ.,i put the peas into a jar
134,It’s difficult to put them in it.,Rất khó để bỏ các hạt đậu vào lọ.,it s difficult to put them in it
135,I spill some of them.,Tớ đã làm rơi một vài hạt ra ngoài.,i spill some of them
136,I pick up some beans.,Tớ nhặt một vài hạt đậu lên.,i /pɪk/ /ap/ /sɐm/ /biːnz/
137,I wonder how many peas there are.,Tớ tự hỏi có bao nhiêu hạt ở đây.,i /ˈwʌndə/ /hæŏ/ /ˈmæni/ /piːz/ /ðeː(ɹ)/ /ɛə/
138,I have to crawl under the table.,Tớ phải bò dưới bàn.,i have /tʉː/ /kɹɔl/ /ˈʊndə/ /ði/ /ˈteɪbəl/
139,I sweep the floor.,Tớ quét nhà.,i /swiːp/ /ði/ /flɔː/
140,It’s so dusty.,Nó rất bụi.,/ɪt/ s /səʊ/ /ˈdʌsti/
141,I clean it every day,Tớ dọn dẹp mỗi ngày.,i /kleːn/ /ɪt/ every day
142,I hold the dustpan.,Tớ cầm cái hót rác.,i hold the dustpan
143,I put the trash in the dustpan.,Tớ cho rác vào cái hót rác.,i put the trash in the dustpan
144,The room is clean now.,Bây giờ căn phòng đã sạch sẽ rồi.,the room is clean now
145,I open the window.,Tớ mở cửa sổ.,i open the window
146,It’s sunny today.,Hôm nay trời nắng.,it s sunny today
147,The flowers look fresh.,Những bông hoa tươi roi rói.,the flowers look fresh
148,I look out the window.,Tớ nhìn ra ngoài cửa sổ.,i look out the window
149,I’m waiting for my friend to come.,Tớ đang đợi bạn tớ đến.,i m waiting for my friend to come
150,I wonder where she’s walking now.,Tớ tự hỏi cô ấy đang đi bộ đến đâu rồi?,i wonder where she s /ˈwɔːkɪŋ/ /naʊ/
151,I ride a horse.,Tớ cưỡi ngựa.,i /ɹaɪd/ /æɪ/ /hɔːs/
152,The horse is big.,Tớ ngựa rất to.,/ði/ /hɔːs/ is /bɪɡ/
153,I enjoy riding.,Tớ thích cưỡi ngựa.,i /ənˈd͡ʒɔɪ/ /ˈɹaɪdɪŋ/
154,I light a match.,Tớ quẹt 1 que diêm.,i /lʌɪt/ /æɪ/ /mæt͡ʃ/
155,The match is burning.,Que diêm đang cháy.,/ði/ /mæt͡ʃ/ is /bɜːnɪŋ/
156,It’s hot.,Nó nóng.,/ɪt/ s /hɒt/
157,I put a candle down.,Tớ đặt một ngọn nến xuống.,i put a candle down
158,I hold it with my right hand.,Tớ cầm nó bằng tay phải.,i hold it with my right hand
159,I squat down.,Tớ ngồi xuống .(squat: ngồi xổm),i squat down
160,I put trash into the trash can.,Tớ bỏ ra vào thùng rác.,i put trash into the trash can
161,Don’t litter the room.,Đừng làm vương vãi ra phòng nhé.,don t litter the room
162,It already has some trash.,Có một ít rác ở trong thùng rác rồi.,it already has some trash
163,I play ring toss.,Tớ chơi ném vòng.,i play ring toss
164,I throw the blue ring.,Tớ ném vòng màu xanh.,i throw the blue ring
165,I throw the red one on successfully.,Tớ đã ném trúng vòng màu đỏ.,i throw the red one on successfully
166,I sleep in my bed.,Tớ ngủ trên giường.,i /sliːp/ /ɪn/ /mi/ /bed/
167,My quilt is a yellow one with green dots.,Chăn của tớ là chăn màu vàng chấm bi xanh.,/mi/ /kwɪlt/ is /æɪ/ /jɛlə/ /wan/ with /ɡɹiːn/ dots
168,I’m Superman in my dream.,Trong giấc mơ tớ là siêu nhân.,i m /ˈs(j)uːpəmæn/ /ɪn/ /mi/ /dɹiːm/
169,I go to the bathroom.,Tớ vào phòng tắm.,i /ɡəʉ/ /tʉː/ /ði/ /ˈbæθ.ɹuːm/
170,I’m wee-weeing.,Tớ đi tè.,i m wee weeing
171,I rub my eye.,Tớ rụi mắt.,i rub my eye
172,I take my pants down.,Tớ kéo quần xuống.,i take my pants down
173,I bend down.,Tớ cúi xuống.,i bend down
174,I put my pants on the floor.,Tớ để quần ở trên sàn.,i put my pants on the floor
175,I sit on the potty.,Tớ ngồi trên cái bô.,i sit on the potty
176,I put my hands on my knees.,Tớ đặt tay trên đầu gối.,i put my hands on my knees
177,I want to poo-poo.,Tớ muốn đi ị.,i want to poo poo
178,I make poo-poo.,Tớ đi ị.,i make poo poo
179,I strain.,Tớ rặn.,i strain
180,I make grimaces.,Tớ nhăn mặt.,i /meɪk/ grimaces
181,I wipe my fanny.,Tớ lau sạch sẽ.,i /waɪp/ /mi/ /ˈfæni/
182,I tear off some toilet paper.,Tớ xé một ít giấy vệ sinh.,i tear /ɔːf/ /sɐm/ /ˈtɔɪ.lət/ /ˈpeɪpə/
183,I can do it by myself.,Tớ có thể tự làm việc này.,i /ˈkæn/ /dʉː/ /ɪt/ /baɪ/ /maɪˈsɛlf/
184,I flush the toilet.,Tớ xả bồn cầu.,i /ˈflʌʃ/ /ði/ /ˈtɔɪ.lət/
185,"Pew, it stinks.","Eo, nó rất hôi.",/pjuː/ /ɪt/ stinks
186,The water goes down.,Nước chảy xuống dưới.,/ði/ /ˈwoːtə/ /ɡəʊz/ down
187,I put away my pajamas.,Tớ cởi bộ đồ ngủ.,i put away my pajamas
188,I have a bag for my pajamas.,Tớ có túi đựng đồ ngủ.,i have a bag for my pajamas
189,I change my clothes.,Tớ thay quần áo.,i change my clothes
190,I button my shirt.,Tớ cài cúc áo.,i button my shirt
191,I wear my green striped shirt.,Tớ mặc chiếc áo sọc xanh.,i wear my green striped shirt
192,Does it suit me?,Trông nó có hợp với tớ không?,does it suit me
193,I pass the butter.,Tớ bỏ bơ sang một bên.,i pass the butter
194,I eat a fried egg and two sausages.,Tớ ăn trứng rán và hai cái xúc xích.,i eat a fried egg and two sausages
195,I also drink some milk.,Tớ cũng uống một chút sữa nữa.,i also drink some milk
196,I spill some milk.,Tớ làm đổ một ít sữa ra ngoài.,i /spɪl/ /sɐm/ [mɛlk]
197,My elbow hit my cup.,Khuỷu tay của tớ chạm vào cốc.,/mi/ /ˈɛl.bəʊ/ /hɪt/ /mi/ /kʌp/
198,I made a mess again.,Tớ lại làm mọi thứ bừa bãi rồi.,i /meɪd/ /æɪ/ /mɛs/ /əˈɡeɪn/
199,I get the rag.,Tớ lấy giẻ lau.,i /ɡɛt/ /ði/ /ɹæɡ/
200,I have to wipe the table.,Tớ phải lau bàn.,i have /tʉː/ /waɪp/ /ði/ /ˈteɪbəl/
201,My slippers come off.,Dép của tớ trượt cả ra khỏi chân.,/mi/ slippers /kʌm/ /ɔːf/
202,I take my dishes to the sink.,Tớ mang đĩa chén đến bồn rửa.,i /teɪk/ my dishes to the sink
203,I hold them with both hands.,Tớ cầm chúng bằng cả hai tay.,i hold them with both hands
204,I walk very carefully.,Tớ đi rất cẩn thận.,i walk very carefully
205,I carry the stool.,Tớ mang cái ghế đẩu ra.,i carry the stool
206,It’s not so heavy.,Nó không nặng lắm.,it s not so heavy
207,"Now, I’m going to do the dishes.",Bây giờ tớ sẽ rửa chén đĩa.,now i m going to do the dishes
208,I go for a walk.,Tớ đi dạo bộ.,i go for a walk
209,I feel happy.,Tớ cảm thấy vui.,i feel happy
210,I like going out.,Tớ thích đi ra ngoài.,i like going out
211,I go to the park.,Tớ đi đến công viên.,i go to the park
212,It’s my favorite place.,Đó là địa điểm yêu thích của tớ.,/ɪt/ s /mi/ /ˈfeɪv.ɹɪt/ /pleɪs/
213,The gate is made of stone.,Cổng được làm bằng đá.,/ði/ /ɡeɪt/ is /meɪd/ /ɔv/ /stɐʉn/
214,I look for good.,Tớ tìm đồ.,i look for /ɡʊ(d)/
215,I open my bag.,Tớ mở túi của mình ra.,i /ˈəʊ.pən/ /mi/ /ˈbæːɡ/
216,I brought some sweets.,Tớ đã mang theo vài viên kẹo.,i /bɹɔːt/ /sɐm/ sweets
217,I slide down the slide.,Tớ trượt cầu.,i /slaɪd/ down the slide
218,The slide is in the shape of an elephant.,Chiếc cầu trượt có hình con voi.,the slide is in the shape of an elephant
219,It’s a lot of fun.,Thật là nhiều niềm vui.,it s a lot of fun
220,I see yellow flowers.,Tớ nhìn thấy những bông hoa màu vàng.,i see yellow flowers
221,They are yellow tulips.,Chúng là những bông hoa tuy-lip màu vàng.,they are yellow tulips
222,I count them.,Tớ đếm chúng.,i count them
223,I pick flowers.,Tớ hái hoa.,i pick flowers
224,I want to give them to Mommy.,Tớ muốn tặng hoa cho mẹ.,i want to give them to mommy
225,Mommy will be glad.,Mẹ sẽ rất vui.,mommy will be glad
226,I hold Mommy’s hand.,Tớ cầm tay mẹ.,i hold mommy s hand
227,Her hand is warm.,Tay mẹ rất ấm.,her hand is /wɔːm/
228,We go shopping.,Tớ và mẹ đi mua sắm.,/wiː/ /ɡəʉ/ /ˈʃɒpɪŋ/
229,I hurt my knee.,Tớ làm đau đầu gối.,i /hɜːt/ /mi/ /niː/
230,I tripped over a stone.,Tớ vấp phải một hòn đá.,i /tɹɪpt/ /ˈəʊ.və(ɹ)/ /æɪ/ /stɐʉn/
231,It hurts a lot.,Nó rất đau.,/ɪt/ /hɜːts/ /æɪ/ /lɒt/
232,I eat ozoni.,Tớ ăn súp ozoni.,i /iːt/ ozoni
233,It’s yummy.,Nó rất ngon.,/ɪt/ s /ˈjʌm.i/
234,I can use my chopsticks well.,Tớ có thể dùng đũa rất thành thạo.* Ozoni: một một súp truyền thống của Nhật Bản.,i can use my chopsticks well
235,"I put flour, water and eggs in the bowl.","Tớ cho bột mì, nước và trứng vào trong 1 cái bát.",i put flour water and eggs in the bowl
236,I’m breaking an egg.,Tớ đập một quả trứng.,i m breaking an egg
237,I’m a good cook.,Tớ là một người nấu ăn giỏi.,i m a good cook
238,I stir them.,Tớ khuấy chúng lên.,i stir them
239,I use a whisk.,Tớ dùng một cái máy đánh trứng.,i use a whisk
240,I need much power to stir them.,Tớ cần dùng nhiều sức để khuấy.,i need much power to stir them
241,I add a pinch of salt.,Tớ bỏ thêm một chút muối.,i add a pinch of salt
242,The salt is in a green pot.,Muối ở trong cái lọ màu xanh.,the salt is in a green pot
243,I season with salt.,Tớ thêm muối vào.,i /ˈsiːzən/ with /sɔlt/
244,I ladle the batter.,Tớ múc bột. (batter: bột nhão).,i /ˈleɪ.dəl/ /ði/ /ˈbætə(ɹ)/
245,I scoop it with a spoon.,Tớ múc bằng một cái thìa.,i /skuːp/ /ɪt/ with /æɪ/ /spuːn/
246,I have to be careful not to put in too much batter.,Tớ phải cẩn thận không cho quá nhiều bột vào.,i have /tʉː/ be /ˈkɛːfəl/ /nɒt/ /tʉː/ /pʊt/ /ɪn/ /tuː/ /mʌt͡ʃ/ /ˈbætə(ɹ)/
247,I turn it over.,Tớ dốc ngược bột xuống.,i turn it over
248,It is mixed well.,Nó được trộn rất kĩ rồi.,it is mixed well
249,It became a lump.,Nó đã trở thành một cục bột.,it became a lump
250,I knead it.,Tớ nhào/ nặn cục bột.,i knead it
251,I sprinkle some flour over the board.,Tớ rắc một ít bột mì lên tấm ván.,i sprinkle some flour over the board
252,It makes me tired.,Nhào bột khiến tớ rất mệt.,it makes me tired
253,I read a book.,Tớ đọc 1 cuốn sách.,i read a book
254,It’s a very colorful picture book.,Nó là một cuốn sách rất nhiều màu.,it s a very colorful picture book
255,I put my bear by my side.,Tớ để con gấu bông bên cạnh mình.,i put my bear by my side
256,I go to see my friend.,Tớ đi gặp bạn của tớ.,i go to see my friend
257,He lives in the next town.,Cậu ấy sống ở thị trấn ngay cạnh.,/hi/ lives /ɪn/ /ði/ /nɛkst/ /taʊn/
258,What shall we play today?,Hôm nay chúng tớ nên chơi gì đây?,/wɔt/ /ˈʃæl/ /wiː/ /pleɪ/ /təˈdeɪ/
259,I forgot my wallet.,Tớ quên ví mất rồi.,i /fəˈɡɒt/ /mi/ /ˈwɒlɪt/
260,I have to go back soon.,Tớ phải quay lại sớm.,i have /tʉː/ /ɡəʉ/ /bæk/ /suːn/
261,I can’t take a bus without money.,Tớ không thể bắt xe buýt mà không có tiền được.,i /ˈkæn/ t /teɪk/ /æɪ/ /bɐs/ without money
262,I draw the curtains.,Tớ kéo rèm.,i draw the curtains
263,It’s getting dark.,Trời trở nên tối hơn.,it s getting dark
264,I see a lot of people going home.,Tớ nhìn thấy rất nhiều người đang trên đường về nhà.,i see a lot of people going home
265,I lock the door.,Tớ khóa cửa.,i lock the door
266,I insert the key in the lock.,Tớ cho chìa khóa vào ổ khóa.,i insert the key in the lock
267,Don’t forget to lock the door before you go out.,Đừng quên khóa cửa trước khi bạn ra ngoài nhé.,don t forget to lock the door before you go out
268,I put coins into the ticket machine.,Tớ cho đồng xu vào máy bán vé.,i put coins into the ticket machine
269,I know how to get the ticket.,Tớ biết cách làm thế nào để lấy vé.,i know how /tʉː/ /ɡɛt/ /ði/ /ˈtɪkɪt/
270,There are always so many people in the station.,Luôn luôn có rất nhiều người ở nhà ga (trạm).,/ðeː(ɹ)/ /ɛə/ /ˈɔː(l).weɪz/ /səʊ/ /ˈmæni/ /ˈpiːpəl/ /ɪn/ /ði/ /ˈsteɪʃən/
271,I push the button.,Tớ ấn nút.,i [pʷʊʃ] /ði/ /ˈbʌtn̩/
272,"Then, the ticket comes out of the machine.",Sau đó tấm vé sẽ ra khỏi chiếc máy.,/ðen/ /ði/ /ˈtɪkɪt/ /kʌmz/ /æɔt/ of the machine
273,I only have to pay half the price.,Tớ chỉ phải trả một nửa giá tiền thôi.,i only have to pay half the price
274,I put the ticket in my pocket.,Tớ cho vé vào túi quần.,i put the ticket in my pocket
275,I must remember where I put it.,Tớ phải nhớ nơi tớ để vé.,i must remember where i put it
276,I had my ticket punched.,Vé của tớ đã được đục lỗ.,i had my ticket punched
277,I run around in the train.,Tớ chạy vòng quanh trên tàu hỏa.,i run around in the train
278,Nobody sits here.,Không có ai ngồi ở đây cả.,nobody sits here
279,"Wow, it’s a lot of fun.","Ồ, thật nhiều điều thú vị.",wow it s a lot of fun
280,I get off the train.,Tớ ra khỏi tàu.,i get off the train
281,I jump onto the platform.,Tớ nhảy lên sân ga.,i /dʒʌmp/ /ˈɒn.tuː/ /ði/ /ˈplætfɔːm/
282,The train is going to pull out.,Tàu sẽ chạy qua một bên.,/ði/ /tɹeɪn/ is /ˈɡəʊɪŋ/ /tʉː/ /pʊl/ /æɔt/
283,I give my ticket to the station employee.,Tớ đưa vé cho nhân viên soát vé của nhà ga.,i /ɡɪv/ /mi/ /ˈtɪkɪt/ /tʉː/ /ði/ /ˈsteɪʃən/ /(ˌ)ɪm-/
284,He wears a blue uniform.,Chú ấy mặc đồng phục màu xanh.,/hi/ /wɛəz/ /æɪ/ /bluː/ /ˈjuːnɪfɔːm/
285,I want to become a station employee too.,Tớ cũng muốn trở thành nhân viên nhà ga.,i /wɔnt/ /tʉː/ /bəˈkʊm/ a station employee too
286,I wait for the flower to bloom.,Tớ chờ hoa nở.,i wait for the flower to bloom
287,It has a pink bulb.,Nó có nụ màu hồng.,it has a pink bulb
288,I planted seeds in this flower pot.,Tớ đã gieo hạt vào chiếc bình hoa này.,i planted seeds in this flower pot
289,I take the toy away from my friend.,Tớ giật đồ chơi khỏi tay bạn tớ.,i take the toy away from my friend
290,He wants to play with it too.,Cậu ấy cũng muốn chơi.,he wants to play with it too
291,He tries to get it back.,Cậu ấy cố gắng tìm cách lấy nó lại.,he tries to get it back
